,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,score_time,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score,test_score
estimator,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time,Castor,DST,DrCif,Hydra,MrSeql,MultiRocket,UST,Rocket,z-time
Car,3.7215002536773683,1.9810835266113282,18.298819943999998,2.7268033027648926,15.48992958,0.5245805740356445,1.779714050292969,0.5165100288391113,0.808397865,1.097829818725586,0.5868497753143311,48.91641695,0.8670171642303467,0.358076715,0.10889570236206052,0.6695623397827148,0.2508742141723633,0.240452862,0.9666666666666666,0.9783333333333333,0.9216666668,0.9550000000000001,0.916666667,0.9666666666666666,0.8233333333333333,0.925,0.683333333
Chinatown,0.6895473194122315,0.6942668342590332,14.5830645,0.45640653610229487,0.122222853,0.7432292652130126,0.3392040252685547,0.4355555820465088,0.479155636,0.20257339477539063,0.19413745880126948,34.609035743999996,0.19175441741943355,0.005739689,0.10295207977294918,0.15020199775695797,0.15400957107543942,0.1634799,0.9818797564687977,0.9818188736681887,0.986263318,0.9846194824961948,0.966894977,0.988455098934551,0.7135083713850837,0.9834855403348554,0.972412481
ChlorineConcentration,63.452520799636844,27.29927725791931,434.25006106,28.74423229217529,3438.014003,16.266014089584353,13.274993019104006,10.224937553405761,31.4791626,7.4452733802795406,4.378529748916626,952.42688462,4.802217245101929,21.88501911,0.8858914375305176,2.5780972671508793,1.221562976837158,8.570203257,0.9996750123285125,0.998374792166881,0.9993034590000001,0.9995356395062128,0.99117521,0.9991176288295863,0.9994426703962102,0.9991642481224282,0.623163591
CinCECGTorso,155.8072485256195,65.88351327896119,370.65473205999996,90.24519351959229,802.6248676,6.118117694854736,120.19944979667665,11.297645559310913,42.49896922,37.768343391418455,16.520266637802123,47.100394334,22.496086206436154,42.24329963,1.010541706085205,31.089411602020267,2.661057434082031,12.07967052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96056338
Coffee,1.2593674182891845,0.5963622856140136,5.2264151144,0.7363680362701416,1.500605011,0.26390930175781246,0.36579524993896484,0.22223216056823727,0.328232384,0.4846616744995117,0.24507091522216795,15.888422914,0.34793256759643554,0.040020418,0.06870983123779292,0.20782448768615716,0.14124379158020017,0.093746328,1.0,0.9963636363636363,1.0,1.0,1.0,1.0,1.0,1.0,0.839393939
Computers,24.235535659790038,9.743343000411986,89.561861772,13.379256916046142,50.94031692,1.6522644233703612,17.072696743011473,2.203632621765137,6.280370092,6.0639465713500975,2.3086231040954592,128.23704222,3.3949393177032468,2.338987875,0.27010700225830075,4.5741861629486085,0.6058261489868164,1.846231079,0.9032,0.7424000000000001,0.8356,0.8692,0.782,0.8708,0.8019999999999999,0.8583999999999999,0.784
CricketX,19.955938920974734,10.524390678405762,122.685056,9.556390686035158,189.7634039,2.010097703933716,4.9599707889556885,1.7740094852447512,7.116985512,4.126720857620239,1.6531352806091308,420.5115806,2.1276476192474365,3.618726158,0.2672546863555908,1.478120403289795,0.50879732131958,2.033683681,0.874871794871795,0.874102564102564,0.8200000002,0.8679487179487181,0.819230769,0.8676923076923077,0.752051282051282,0.8676923076923077,0.569230769
CricketY,12.877966480255129,8.984949750900268,122.57621504000001,7.902722015380858,193.7525358,1.9691761302947999,4.743264818191529,1.750885877609253,7.139380932,3.0165247917175293,1.6508751773834227,432.04228318,2.0752033042907714,3.60693326,0.26321016311645506,1.5044389915466307,0.493074722290039,2.006401825,0.8889743589743591,0.8720512820512821,0.8294871796000001,0.8812820512820514,0.833333333,0.8733333333333333,0.7084615384615385,0.8853846153846154,0.573076923
CricketZ,16.397301445007322,7.0714937210083,122.47738096,7.82826524734497,192.1970234,1.9762952709198,4.838237380981445,1.7294989490509032,7.150821257,3.7323584842681883,1.65667667388916,419.36422647999996,2.0432265472412108,3.638245869,0.2691330814361572,1.4226132392883302,0.5038228130340576,2.008811855,0.8661538461538463,0.8717948717948717,0.8271794872000001,0.8700000000000001,0.821794872,0.8684615384615384,0.7279487179487181,0.8810256410256411,0.548717949
Crop,2795.8475410938263,737.6108759212494,2045.9224719999997,1023.6232982444765,2132.729091,786.5598315429687,427.1071911525726,625.9200004959106,54.45826287,8.638915414810182,6.34116229057312,10143.910094,5.056488437652588,9.996119022,3.2488252544403076,2.9347684097290037,2.075151996612549,12.18405151,0.6569833333333334,0.766675,0.8184833332,0.7051333333333333,0.686,0.8093916666666667,0.42654999999999993,0.7650333333333335,0.627166667
DiatomSizeReduction,5.3056360912323,2.742439966201782,28.533129273999997,3.8074280643463134,14.83963804,0.8872961425781251,2.2057340145111084,0.8306683444976807,1.467977476,1.4798153114318846,0.7627157688140869,22.22409147,1.1177806949615479,0.344006968,0.14405030250549314,0.8103508186340331,0.3086905765533447,0.453323698,1.0,1.0,1.0,1.0,1.0,1.0,0.9931634615384615,1.0,0.990673077
